sample,measurement,result_value,result_unit
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_20um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_20um_1#sea_subsurf_temp,14.088,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_20um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_20um_1#sea_surf_temp,14.097,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_20um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_20um_1#sea_subsurf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_20um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_20um_1#sea_surf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_3#sea_subsurf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_3#sea_surf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220601_3um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220601_3um_1#sea_surf_temp,15.655,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220601_3um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220601_3um_1#sea_subsurf_temp,15.297,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_4,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_4#sea_surf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_4,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230621_0.2um_4#sea_subsurf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_210825_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_210825_3um_3#sea_surf_temp,18.919,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_210825_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_210825_3um_3#sea_subsurf_temp,18.919,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_0.2um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_0.2um_1#sea_subsurf_temp,14.088,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_0.2um_1,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_0.2um_1#sea_surf_temp,14.097,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_200um_2,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_200um_2#sea_subsurf_temp,14.088,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_200um_2,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_211028_200um_2#sea_surf_temp,14.097,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230817_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230817_3um_3#sea_subsurf_temp,Expected 12-2024,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
